0
70,0721975940778
64,0655611563469
-165,861461127998
-228,709115613193
144,7762730424
420,48338331301
22,2669134562852
-544,855822093851
-307,539535002186
518,968713151034
631,548431713021
-302,153403615755
-885,478098986327
-85,5131516587099
964,648863957071
562,915784227626
-803,081806924156
-1006,82494207795
398,614971958459
1285,23811984538
179,514396131106
-1295,87340940481
-803,793517479759
998,69510339926
1319,47026092623
-432,694233227949
-1585,40415908485
-288,644436278125
1513,53499843803
1002,84484679605
-1095,80582513294
-1538,6161753128
410,587226859891
1760,11430477093
393,828305159917
-1603,3051925014
-1134,79010080912
1094,38438763516
1640,7218365291
-344,967449700733
-1794,40390878884
-474,958827349617
1562,55545407726
1179,287032819
-1003,81991562191
-1612,06968371566
253,09006780835
1685,58835891652
513,500663638002
-1400,2598078644
-1123,41828643374
841,429627639071
1450,36723009288
-154,415314966881
-1443,49417300271
-494,981950847153
1135,79695816802
963,497180382228
-630,215971596356
-1165,27800793834
68,031095665994
1089,51698450633
411,082527056357
-796,79140598021
-705,977936084549
396,129822986655
777,810117884364
-10,1741658464743
-654,600209212718
-261,068730957912
416,226600476693
367,346276468569
-165,144167492352
-318,604342485927
-7,86432737157925
